Sample	Genotype	Batch
SRR10529359	MYBPC3_ctrl	b1
SRR10529360	MYBPC3_ctrl	b2
SRR10529361	MYBPC3_ctrl	b3
SRR10529362	MYBPC3_ctrl	b4
SRR10529363	MYBPC3_ctrl	b5
SRR10529364	MYBPC3_ctrl	b6
SRR10529365	MYBPC3_ctrl	b7
SRR10529366	MYBPC3_ctrl	b8
SRR10529367	MYBPC3_ctrl	b9
SRR10529368	MYBPC3_ctrl	b10
SRR10529369	MYBPC3_het_del	b1
SRR10529370	MYBPC3_het_del	b2
SRR10529371	MYBPC3_het_del	b3
SRR10529372	MYBPC3_het_del	b4
SRR10529373	MYBPC3_het_del	b5
SRR10529374	MYBPC3_het_del	b6
SRR10529375	MYBPC3_het_del	b7
SRR10529376	MYBPC3_het_del	b8
SRR10529377	MYBPC3_het_del	b9
SRR10529378	MYBPC3_het_del	b10
SRR10529379	MYBPC3_het_shift	b1
SRR10529380	MYBPC3_het_shift	b2
SRR10529381	MYBPC3_het_shift	b3
SRR10529382	MYBPC3_het_shift	b4
SRR10529383	MYBPC3_het_shift	b5
SRR10529384	MYBPC3_het_shift	b6
SRR10529385	MYBPC3_het_shift	b7
SRR10529386	MYBPC3_het_shift	b8
SRR10529387	MYBPC3_het_shift	b9
SRR10529388	MYBPC3_het_shift	b10
SRR10529389	MYBPC3_ctrl_edit	b1
SRR10529390	MYBPC3_ctrl_edit	b2
SRR10529391	MYBPC3_ctrl_edit	b3
SRR10529392	MYBPC3_ctrl_edit	b4
SRR10529393	MYBPC3_ctrl_edit	b5
SRR10529394	MYBPC3_ctrl_edit	b6
SRR10529395	MYBPC3_ctrl_edit	b7
SRR10529396	MYBPC3_ctrl_edit	b8
SRR10529397	MYBPC3_ctrl_edit	b9
SRR10529398	MYBPC3_ctrl_edit	b10
SRR10529399	MYBPC3_ctrl_edit	b11
SRR10529400	MYBPC3_ctrl_edit	b12
SRR10529401	MYBPC3_ctrl_edit	b13
SRR10529402	MYBPC3_ctrl_edit	b14
SRR10529403	MYBPC3_ctrl_edit	b15
SRR10529404	MYBPC3_hom_shift	b1
SRR10529405	MYBPC3_hom_shift	b2
SRR10529406	MYBPC3_hom_shift	b3
SRR10529407	MYBPC3_hom_shift	b4
SRR10529408	MYBPC3_hom_shift	b5
SRR10529409	MYBPC3_hom_shift	b6
SRR10529410	MYBPC3_hom_shift	b7
SRR10529411	MYBPC3_hom_shift	b8
SRR10529412	MYBPC3_hom_shift	b9
SRR10529413	MYBPC3_hom_shift	b10
SRR10529414	MYBPC3_hom_shift	b11
SRR10529415	MYBPC3_hom_shift	b12
SRR10529416	MYBPC3_hom_shift	b13
SRR10529417	MYBPC3_hom_shift	b14
SRR10529418	MYBPC3_hom_shift	b15
SRR10529419	MYBPC3_hom_del	b1
SRR10529420	MYBPC3_hom_del	b2
SRR10529421	MYBPC3_hom_del	b3
SRR10529422	MYBPC3_hom_del	b4
SRR10529423	MYBPC3_hom_del	b5
SRR10529424	MYBPC3_hom_del	b6
SRR10529425	MYBPC3_hom_del	b7
SRR10529426	MYBPC3_hom_del	b8
SRR10529427	MYBPC3_hom_del	b9
SRR10529428	MYBPC3_hom_del	b10
SRR10529429	MYBPC3_hom_del	b11
SRR10529430	MYBPC3_hom_del	b12
SRR10529431	MYBPC3_hom_del	b13
SRR10529432	MYBPC3_hom_del	b14
SRR10529433	MYBPC3_hom_del	b15
AT1WT2D1	MYH_ATWT2D	b1
