Geneid	Control_1_1	Control_1_2	Control_1_3	Control_1_4	Control_2_1	Control_2_2	Control_2_3	Control_2_4	Mutant_1_1	Mutant_1_3	Mutant_1_4	Mutant_2_1	Mutant_2_2
1	4	11	5	6	8	18	14	10	20	21	15	14	16
10	0	0	0	0	0	0	0	0	2	3	0	0	0
100	64	56	71	62	75	75	91	62	71	83	83	90	98
1000	8881	8935	9049	8986	9056	9219	9186	9254	12509	12557	12508	12545	12405
10000	410	405	391	405	346	359	402	345	566	544	636	524	543
100008586	0	0	0	0	0	0	0	0	0	0	0	0	0
100008587	0	0	0	0	0	0	0	0	0	0	0	0	0
100008588	0	0	0	0	0	0	0	0	0	0	0	0	0
100008589	0	0	0	0	0	0	0	0	0	0	0	0	0
100009613	0	0	0	0	0	0	0	0	0	0	0	0	0
100009676	34	25	30	37	30	25	31	39	33	45	45	41	36
10001	108	127	127	127	133	130	146	127	150	134	173	127	130
10002	6	3	2	3	3	9	5	5	2	2	1	5	5
10003	28	38	41	39	42	31	38	29	81	89	60	72	59
100033413	6	6	1	4	7	5	4	4	5	5	5	5	4
100033414	7	9	1	8	10	6	2	3	5	4	4	7	3
100033415	0	1	0	1	0	0	0	0	0	3	5	0	1
100033416	72	86	78	71	89	77	65	84	87	95	69	79	91
100033417	1	1	0	1	3	2	0	4	0	1	1	0	1
100033418	4	7	4	4	12	19	17	17	7	10	12	10	16
100033419	20	13	19	20	23	16	28	24	20	14	23	22	28
100033420	2	7	4	4	1	2	0	3	2	5	2	2	4
100033421	4	2	4	5	1	3	2	3	0	1	4	7	3
100033422	1	1	2	4	0	0	0	0	0	0	0	0	0
100033423	1	1	1	3	1	0	2	0	0	0	0	4	5
100033424	0	1	1	0	1	2	1	2	4	4	4	2	3
100033425	15	16	10	18	23	20	27	37	34	19	18	10	16
100033426	20	18	16	26	16	15	26	12	29	14	21	22	24
100033427	3	8	8	5	10	12	5	6	6	5	3	3	5
100033428	10	4	4	3	4	4	13	7	2	5	1	9	5
100033429	1	3	1	4	2	3	4	1	3	4	4	6	1
100033430	61	65	55	54	87	65	84	68	66	79	78	73	48
100033431	3	8	7	4	5	12	8	12	9	11	12	10	14
100033432	30	24	34	16	20	22	16	20	24	37	28	25	23
100033433	12	8	21	13	8	12	9	12	10	12	8	11	9
100033434	8	10	6	6	0	0	2	3	6	3	8	0	2
100033435	6	6	4	4	9	6	9	5	9	8	6	10	5
100033436	0	2	1	0	1	1	0	0	0	2	3	3	1
100033437	0	0	0	0	0	0	0	0	0	1	1	0	0
100033438	5	8	2	6	7	6	12	3	15	14	10	10	14
100033439	7	9	9	6	20	13	16	12	14	8	10	11	11
100033440	0	0	0	0	0	0	0	0	0	0	0	0	0
100033441	0	0	0	0	0	0	0	0	0	0	0	1	0
100033442	0	0	0	0	2	0	1	4	4	0	3	4	2
100033443	0	0	0	0	0	0	0	0	0	0	0	1	0
100033444	0	0	0	0	0	1	2	0	0	0	1	0	1
100033445	1	0	1	1	0	0	0	0	0	0	0	0	0
